time,posx,posy,posz,vx,vy,vz,ax,ay,az
0.15,-304.2868376,-1976.412368,0.013255273,0.071736611,-6.45E-05,-0.241928309,1.432034016,-0.001267159,-4.838933945
0.2,-304.2866344,-1976.423955,0.012258765,0.458257139,-0.000115623,0.071941368,7.725576401,-0.001020316,6.268892288
0.25,-304.2860606,-1976.456781,0.014850763,0.813073158,-0.000180299,0.103600807,7.091160297,-0.001345581,0.659670055
0.3,-304.2852194,-1976.5049,0.015360624,1.108579397,-0.000145221,-0.057230487,5.90912199,0.000598494,-3.21973896
0.35,-304.2840895,-1976.569342,0.01309103,1.49875772,-6.66E-06,-0.004616237,7.80299902,0.002649351,1.043890715
0.4,-304.2825683,-1976.655666,0.014310226,1.927067518,0.00023968,0.064605676,8.566058159,0.004778223,1.392532945
0.45,-304.280732,-1976.759808,0.01502666,2.235644102,0.000474671,-0.012769964,6.171638012,0.004684139,-1.552246332
0.5,-304.2785842,-1976.881239,0.013521033,2.635293007,0.000862457,0.019539313,7.993004322,0.00793916,0.6527915
0.55,-304.2760722,-1977.023199,0.014597341,3.023852587,0.001235764,0.04576626,7.771185875,0.008127702,0.524874806
0.6,-304.2732481,-1977.182947,0.01455075,3.367551804,0.001593014,0.005711718,6.873963356,0.008576991,-0.799808502
0.65,-304.2700996,-1977.361024,0.014000641,3.758960485,0.002020207,0.032049302,7.828176975,0.010991219,0.525030851
0.7,-304.2666029,-1977.558705,0.014498428,4.136868954,0.002413437,0.041050706,7.55808115,0.011573632,0.187403902
0.75,-304.2627619,-1977.77433,0.013983458,4.465351105,0.002027489,0.011518477,6.569637299,-0.002908059,-0.580067575
0.8,-304.2587743,-1978.006113,0.013554571,4.817715645,0.002273878,0.049180791,7.047407627,0.016710054,0.747052133
0.85,-304.2545574,-1978.25474,0.015081876,5.113851547,0.000847327,0.048207462,5.923083305,-0.011487712,-0.049239822
0.9,-304.2502366,-1978.518254,0.014315672,5.432260513,-0.000535933,0.027087944,6.36796999,-0.001463265,-0.39541468
0.95,-304.2456552,-1978.798148,0.014563307,5.758467197,-0.001029429,0.047070507,6.524317741,0.021654181,0.367091209
1,-304.2407659,-1979.094533,0.014429823,6.092745304,-0.002376858,0.051568095,6.685271263,0.009202663,0.124711379
1.05,-304.235604,-1979.407314,0.014720116,6.412516594,-0.003791125,0.039527725,6.395649433,0.01416418,-0.268717378
1.1,-304.2300895,-1979.736624,0.014208126,6.760385036,-0.004455666,0.055597976,6.957217693,0.032285143,0.34799099
1.15,-304.2241257,-1980.083421,0.014745781,7.10011673,-0.005476264,0.054444373,6.794799328,0.02537353,-0.037971046
1.2,-304.2177492,-1980.446963,0.014329974,7.443178654,-0.006400616,0.049656581,6.861166954,0.02774542,-0.079892226
1.25,-304.2108624,-1980.828383,0.014474757,7.806209564,-0.006565763,0.062688485,7.260716915,0.038813055,0.252321064
1.3,-304.2034028,-1981.227678,0.014439682,8.162444115,-0.006646176,0.058622386,7.124615669,0.032153688,-0.066548891
1.35,-304.1953641,-1981.645162,0.014395809,8.533557892,-0.006328063,0.060779694,7.422343254,0.029717553,0.035676807
1.4,-304.1867063,-1982.081379,0.014328127,8.911949158,-0.005154353,0.067685165,7.567761421,0.032135386,0.147901624
1.45,-304.1773923,-1982.53653,0.014454697,9.285998344,-0.003575934,0.067408279,7.48100996,0.020775201,-0.009466877
1.5,-304.1675222,-1983.009074,0.014579026,9.590885162,-0.003336545,0.0699035,6.097878933,-0.02698387,0.026338588
1.55,-304.1574563,-1983.493517,0.015018521,9.780210495,-0.003474457,0.074925788,3.786883354,-0.040420275,0.04976394
1.6,-304.147307,-1983.986871,0.014862331,9.954262733,-0.003065554,0.076349646,3.480919361,-0.028467432,0.044004798
1.65,-304.1370658,-1984.489018,0.015010202,10.13273621,-0.002749448,0.077716991,3.569555759,-0.02920194,0.014376685
1.7,-304.1267199,-1985.000282,0.014848089,10.3187933,-0.002250734,0.078438431,3.721013784,-0.025142264,0.029419264
1.75,-304.1162646,-1985.52102,0.014943709,10.51167679,-0.001780575,0.080662608,3.857726574,-0.02445641,0.03597074
1.8,-304.1056875,-1986.051605,0.014820157,10.71172047,-0.001300373,0.081235968,4.000773907,-0.023431886,0.024984725
1.85,-304.0949848,-1986.592301,0.014887397,10.91702175,-0.000783899,0.083075993,4.106076241,-0.021385876,0.029143305
1.9,-304.0841419,-1987.143526,0.014771507,11.13279629,-0.000203425,0.084524758,4.315382481,-0.01920459,0.0426769
1.95,-304.0731497,-1987.705767,0.014821693,11.35751724,0.000343949,0.085887209,4.494471073,-0.018507248,0.022692634
2,-304.0619924,-1988.279537,0.014706595,11.59397793,0.000941956,0.087405369,4.729115963,-0.01668353,0.043210663
2.05,-304.0506595,-1988.865379,0.014745248,11.84001827,0.001596928,0.089291535,4.920828819,-0.014319887,0.034840912
2.1,-304.0391321,-1989.46383,0.014639032,12.09859753,0.002238729,0.090555489,5.171494961,-0.0140263,0.038291574
2.15,-304.0274004,-1990.075489,0.014660338,12.36773396,0.00296542,0.092632875,5.382751465,-0.011447576,0.039570455
2.2,-304.0154703,-1990.700914,0.014564514,12.64898872,0.003615476,0.094278932,5.624988079,-0.009307064,0.045804016
2.25,-304.0033323,-1991.340519,0.014605706,12.93322945,0.00403386,0.096326731,5.684870243,-0.010179972,0.036076244
2.3,-303.9909758,-1991.994364,0.014536011,13.21913719,0.004431025,0.098306954,5.718097687,-0.007970879,0.048195969
2.35,-303.9783893,-1992.662502,0.014584699,13.50423527,0.004794645,0.100629926,5.701991558,-0.007027043,0.041347295
2.4,-303.9655726,-1993.344886,0.014528317,13.78980637,0.005081086,0.102211326,5.711375237,-0.006662324,0.038539521
2.45,-303.9513338,-1994.104951,0.014563675,14.10046577,0.005448888,0.104874156,5.700222492,-0.003912881,0.044424146
2.5,-303.9392294,-1994.752457,0.014520665,14.3599844,0.005597617,0.106407292,5.703668118,-0.006455716,0.039662745
2.55,-303.9256987,-1995.477622,0.014543736,14.64484882,0.005855936,0.108832791,5.697302818,-0.003480906,0.044922858
2.6,-303.9119269,-1996.21701,0.014509995,14.92950535,0.006071124,0.110570997,5.693109512,-0.002954345,0.038475644
2.65,-303.89791,-1996.97064,0.014524194,15.21410275,0.006259332,0.113038413,5.691972733,-0.00263022,0.046930235
2.7,-303.8836473,-1997.738476,0.014498631,15.49830055,0.006419656,0.114736378,5.683928967,-0.002274863,0.036683749
2.75,-303.8692496,-1998.518396,0.014470028,15.72245598,0.006665153,0.108257242,4.483289242,-0.002394998,-0.15015398
2.8,-303.8544976,-1999.314501,0.013622797,16.13458633,0.006640768,0.125439599,8.241798401,-0.005278907,0.467153728
2.85,-303.8394806,-2000.130773,0.014853063,16.50013351,0.004123918,0.122733071,7.312074661,-0.041036069,-0.193540305
2.9,-303.8243647,-2000.965582,0.013681108,16.90124321,0.002667755,0.114753351,8.021138191,0.008159948,-0.005905893
2.95,-303.8086812,-2001.829492,0.014412151,17.30077744,0.001394974,0.132031813,7.912492752,0.025391972,0.214587554
3,-303.7929058,-2002.704267,0.013965753,17.69275475,-0.000870036,0.127177134,7.838767529,0.035391744,0.009343715
3.05,-303.7766008,-2003.598882,0.014327576,18.08321571,-0.001860301,0.130025968,7.809821606,0.049337156,-0.025101848
3.1,-303.7595992,-2004.512577,0.013964009,18.46453667,-0.00077375,0.135116175,7.625995636,0.04739961,0.158796862
3.15,-303.741929,-2005.444855,0.01443991,18.81204414,-0.000162564,0.13992779,6.950621605,-0.019110667,0.03192471
3.2,-303.7238717,-2006.392798,0.014293823,19.10228348,0.000192099,0.137354761,5.80480051,-0.069654375,-0.050966937
3.25,-303.7056519,-2007.3547,0.014480959,19.37081909,0.001072251,0.147261545,5.371013165,-0.081373945,0.157190546
